Ward,Area,Latitude,Longitude,Land Area (SKM),Households,Population 2001,Density per Square Kilometer,Population 2011,Population 2022,Density 2011,Density 2022
ISLAND CITY DISTRICT,,,,76.8,677364,3338031,43447,5123878,6862992 ,66691,89327
A,Colaba,18.9151,72.8260,12.5,43661,210847,16868,323650,433501 ,25892,34681
B,Sandhurst Road,18.9609,72.8394,2.5,27225,140633,56936,215872,289141 ,87397,117060
C,Marine Lines,18.9458,72.8237,1.8,39657,202922,114001,311485,417208 ,174992,234386
D,Grant Road,18.9644,72.8136,6.6,79131,382841,57744,587661,787121 ,88637,118722
E,Byculla,18.9766,72.8328,7.4,80970,440335,59505,675914,905329 ,91340,122342
F South,Parel,19.0095,72.8377,14,80777,396122,28294,608047,814427 ,43431,58172
F North,Matunga,19.0274,72.8501,13,112765,524393,40400,804943,1078152 ,62014,83062
G South,Elphinstone,18.9272,72.8311,10,92525,457931,45793,702924,941506 ,70292,94150
G North,Dadar/Plaza,19.0193,72.8429,9.1,120643,582007,64168,893381,1196606 ,98498,131929
H East,Khar/Santacruz,19.0787,72.8471,13.5,114423,580835,42929,891582,1194197 ,65896,88262
H West,Bandra,19.0550,72.8402,11.6,73874,337391,29211,517895,693676 ,44839,60058
K East,Andheri (East),19.1159,72.8542,24.8,175859,810002,32688,1243353,1665364 ,50176,67207
K West,Andheri (West),19.1172,72.8340,23.4,149161,700680,29956,1075544,1440598 ,45982,61590
L,Kurla,19.0630,72.8847,15.9,151964,778218,49006,1194565,1600016 ,75224,100756
M East,Chembur East,19.0731,72.8699,32.5,133416,674850,20765,1035895,1387492 ,31874,42693
M West,Chembur West,19.0767,72.8759,19.5,86911,414040,21233,635551,851266 ,32593,43655
N,Ghatkopar,19.0857,72.9084,26,129228,619556,23866,951018,1273807 ,36634,49068
P North,Malad,19.1867,72.8486,19.1,171009,796775,41651,1223050,1638169 ,63934,85634
P South,Goregaon,19.1649,72.8494,24.4,95188,437849,17915,672098,900218 ,27500,36833
R South,Kandivali,19.2042,72.8517,17.8,128995,589886,33177,905475,1212806 ,50927,68212
R Central,Borivali West,19.2295,72.8480,50,117294,513077,10262,787573,1054886 ,15752,21099
R North,Dahiser,19.2506,72.8595,18,83433,363827,20213,558474,748028 ,31027,41558
S,Bhandup,19.1439,72.9384,64,148731,691227,10800,1061033,1421163 ,16578,22205
T,Mulund,19.1723,72.9565,45.4,73540,330195,7270,506849,678881 ,11159,14947
MUNICIPALITY OF GREATER MUMBAI,,,,482.7,2510380,11976439,24812,18383834,24623559 ,38086,51013